phrase_name,translation
validation_required_field_empty,%{name} is a required field.
validation_name_no_spaces,Your username cannot contain spaces.
api_unavailable,"The HubbleConnected Web Application was unable to reach the API. It could be that your network or ISP is currently experiencing an outage, or the API may be undergoing maintenance."
crumb_dashboard,Dashboard
crumb_devicedetails,%{name}
crumb_sharingpage,Device Sharing
crumb_settingspage,User Settings
crumb_register,Registration Form
crumb_subscription,Subscription Form
crumb_lostpassword,Password Recovery
crumb_resetpassword,Password Recovery Form
crumb_globaltimeline,Events in my Home
crumb_login,Sign-in to your Account
crumb_nodevices,Demo Video
crumb_subscriptions_noplanyet,Choose a Plan
crumb_subscriptions,Change your Plan
crumb_myaccount,My Account
crumb_devsub,Apply your Plan
crumb_billinginfo,Purchase Your Plan
crumb_updatebillinginfo,Update Your Plan
crumb_purchasecomplete,Purchase Confirmation
crumb_chooseplan,Choose Your Plan
crumb_cancelsub,Cancel Plan
nav_dashboard,Dashboard
nav_timeline,Timeline
nav_settings,Account
loading_message,Loading from the HubbleHome API...
dashboard_no_devices,No Devices
login_username,Username or Email
login_password,Password
login_savelogin,Remember Me
login_submit,Login
login_reset,Reset
login_forgotpw,"Forgot your Password? <a href=""/#lostpassword"">Click here</a><br>Don't have an account? <a href=""/#create_account"">Click here</a>"
login_wrongpassword,"Invalid Username or Password. Please try again or <a href=""/#lostpassword"">Click Here</a> to recover your password"
logout_yesimsure,"Yes, continue"
logout_clearall,Clear All Saved Data
logout_cancel,"No, cancel"
logout_confirmation_message,Are you sure you want to logout?
sens_setting_low,Low
sens_setting_medium,Medium
sens_setting_high,High
header_logout,Logout
header_addlogin,Add Login
regform_title,Create an Account
regform_name,Username (Can't contain symbols or spaces)
regform_email,Email
regform_password,Password
regform_password_confirmation,Confirm Password
regform_submit,Complete Registration
regform_reset,Reset Form
regform_error_different_passwords,Your Confirmed Password does not match the original.
regform_signin,"Already have an account? <a href=""/#login"">Click here to sign in</a>"
registration_complete,"<h2>Registration complete!</h2><a href=""/#login"">Click here to sign in</a>"
registration_completewithinvitation,Registration complete! Now processing your device invitation...
lostpassword_title,Retrieve Your Password
lostpassword_login,Enter your Email Address
lostpassword_extrainfo,You will receive an email with a link that will allow you to reset your Password.
lostpassword_submit,Submit
lostpassword_reset,Reset
lostpassword_feedback,"Thank you! If the account you specified was correct, you will receive an email shortly."
lostpassword_email_empty,You did not enter an email address.
lostpassword_email_invalid,You did not enter a valid email address.
resetpassword_password,Enter your Password
resetpassword_password_confirmation,Confirm your Password
